Station_A,Station_B,Capacity,Service
Carvalhos de Figueiredo,Tomar,4,STANDARD
Pampilhosa,Quinta do Valongo - Vacarica,2,STANDARD
Quinta do Valongo - Vacarica,Pego,2,STANDARD
Pego,Bifurcacao do Luso,6,STANDARD
Bifurcacao do Luso,Luso Bucaco,2,STANDARD
Luso Bucaco,Soito,2,STANDARD
Soito,Monte dos Lobos,2,STANDARD
Monte dos Lobos,Mortagua,4,STANDARD
Mortagua,Castelejo,2,STANDARD
Castelejo,Papizios,2,STANDARD
Papizios,Carregal do Sal,4,STANDARD
Carregal do Sal,Oliveirinha Cabanas,4,STANDARD
Oliveirinha Cabanas,Lapa do Lobo,2,STANDARD
Lapa do Lobo,Canas Felgueira,4,STANDARD
Canas Felgueira,Moimenta Alcafache,2,STANDARD
Moimenta Alcafache,Contencas,4,STANDARD
Contencas,Gouveia,6,STANDARD
Gouveia,Fornos de Algodres,4,STANDARD
Fornos de Algodres,Muxagata,4,STANDARD
Muxagata,Celorico da Beira,4,STANDARD
Celorico da Beira,Baracal,2,STANDARD
Baracal,Vila Franca das Naves,4,STANDARD
Vila Franca das Naves,Pinhel,4,STANDARD
Pinhel,Gata,2,STANDARD
Gata,Vila Fernando,2,STANDARD
Vila Fernando,Rochoso,2,STANDARD
Rochoso,Cerdeira,6,STANDARD
Cerdeira,Miuzela,2,STANDARD
Miuzela,Noemi,4,STANDARD
Noemi,Castelo Mendo,2,STANDARD
Castelo Mendo,Freineda,2,STANDARD
Freineda,Aldeia,2,STANDARD
Alcantara-Terra,Sete Rios,8,STANDARD
Sete Rios,Entrecampos - Poente,8,STANDARD
Entrecampos - Poente,Entrecampos,10,STANDARD
Entrecampos,Roma - Areeiro,10,STANDARD
Roma - Areeiro,Chelas,2,STANDARD
Chelas,Marvila,2,STANDARD
Marvila,Braco de Prata,10,STANDARD
Figueira da Foz,Pampilhosa,6,STANDARD
Sernada do Vouga,Macinhata,4,STANDARD
Macinhata,Carvalhal da Portela,2,STANDARD
Carvalhal da Portela,Valongo-Vouga,2,STANDARD
Valongo-Vouga,Aguieira,2,STANDARD
Aguieira,Mourisca do Vouga,2,STANDARD
Mourisca do Vouga,Agueda,4,STANDARD
Agueda,Oronhe,2,STANDARD
Oronhe,Casal do Alvaro,2,STANDARD
Casal do Alvaro,Cabanoes,2,STANDARD
Cabanoes,Travasso,2,STANDARD
Travasso,Taipa - Requeixo,2,STANDARD
Taipa - Requeixo,Eirol,8,STANDARD
Eirol,Sao Joao de Loure,2,STANDARD
Sao Joao de Loure,Eixo,8,STANDARD
Eixo,Azurva,2,STANDARD
Azurva,Esgueira,2,STANDARD
Esgueira,Aveiro - Vouga,10,STANDARD
